7	8	25	31	22	47
40	31	8	27	21	45
34	30	27	18	44	11
44	9	17	15	4	31
16	5	34	17	28	11
2	24	48	13	10	25
47	29	6	15	28	10
15	21	37	47	16	22
43	30	39	3	19	10
48	9	17	30	8	16
15	27	17	37	18	11
44	34	28	29	23	39
16	11	10	7	19	37
2	43	47	36	41	14
3	8	31	35	27	44
47	9	10	17	46	7
38	19	16	42	49	10
25	45	17	41	5	1
16	15	36	20	2	21
28	43	25	13	38	27
15	36	45	25	6	27
41	12	48	31	35	21
29	28	5	43	37	8
9	40	47	39	30	1
11	17	18	6	13	47
45	43	25	35	21	49
29	28	26	17	37	16
3	27	38	35	14	25
7	37	13	33	4	48
5	16	48	29	38	10
6	26	17	12	14	45
36	19	27	38	26	20
12	14	26	11	20	4
37	42	43	39	9	14
16	25	24	44	8	28
37	8	16	15	43	25
11	33	20	19	23	35
2	18	41	45	47	49
1	6	22	25	44	26
37	33	35	13	2	32
26	28	18	11	7	5
40	42	10	3	29	9
6	5	12	23	43	4
44	47	15	20	6	5
46	19	30	34	22	6
14	39	4	33	42	10
19	44	28	5	2	26
16	42	6	31	24	43
24	36	26	27	14	31
34	38	43	28	29	39
38	1	42	14	21	43
47	21	42	9	13	12
15	11	12	32	27	45
28	46	3	8	26	14
34	25	45	46	18	21
29	1	39	42	44	11
14	32	27	7	1	47
48	15	27	13	22	2
33	17	7	27	47	30
4	13	19	29	20	22
47	8	4	48	30	49
26	4	3	38	45	33
14	2	5	10	9	42
47	10	46	29	31	44
18	39	30	38	7	25
41	42	1	29	15	23
36	11	45	13	12	15
37	33	21	23	39	15
41	24	44	47	22	35
27	26	49	12	15	33
45	24	33	3	14	28
23	43	5	21	7	4
29	20	48	36	10	46
18	36	1	19	46	4
2	16	19	42	29	13
3	40	41	1	21	27
29	8	31	13	5	47
5	27	47	31	23	36
37	45	10	32	3	43
26	16	15	5	28	27
14	36	17	29	32	19
41	28	29	16	31	12
2	37	42	12	21	44
5	15	29	6	22	46
26	2	17	19	32	41
32	8	10	24	20	11
46	19	17	26	31	23
43	31	21	15	13	46
37	41	19	49	11	26
11	41	44	5	28	1
4	48	5	46	33	41
19	22	14	24	18	29
33	49	30	17	1	45
34	3	20	47	37	31
32	49	36	18	22	29
9	10	17	11	33	29
24	38	6	8	1	4
11	39	42	10	36	21
34	25	21	44	1	29
45	48	14	46	18	16
32	29	16	26	49	6
37	43	41	22	5	39
1	6	34	48	46	37
25	32	35	15	11	37
15	18	9	32	40	25
3	4	12	9	34	47
20	25	49	7	37	4
36	46	23	9	47	41
36	5	49	4	45	21
36	23	10	30	6	28
19	33	36	24	42	15
11	16	44	48	21	32
49	15	23	6	20	19
44	19	31	36	20	49
24	40	26	13	7	14
24	7	3	6	45	10
49	29	31	36	26	43
7	22	34	25	40	47
26	18	49	33	20	23
31	36	22	49	33	34
37	24	16	49	20	3
24	43	32	6	14	27
4	12	23	40	3	8
28	46	10	40	27	24
28	26	23	1	41	24
19	17	11	21	48	24
40	39	47	44	9	8
49	41	28	8	37	12
44	30	34	11	26	43
45	1	43	11	12	5
46	17	32	42	2	9
15	22	29	38	39	4
27	13	12	40	16	28
34	1	49	3	31	19
15	45	4	11	17	40
19	30	32	8	11	35
34	25	7	15	43	36
22	35	29	21	33	26
16	22	21	9	34	31
39	15	49	8	33	18
15	30	32	49	47	13
20	14	13	15	28	49
38	25	44	42	36	22
42	35	17	22	30	18
10	32	22	27	36	16
23	10	39	29	12	33
15	48	7	41	5	19
24	46	26	4	23	14
9	46	40	33	43	21
31	10	36	33	12	7
24	48	10	1	41	33
46	24	43	23	20	18
8	20	44	26	41	42
1	46	27	35	7	26
30	16	36	5	26	11
47	44	11	6	18	21
9	7	44	31	25	37
33	41	28	35	34	32
18	9	25	30	35	45
43	2	22	24	21	42
26	46	5	4	22	1
42	24	30	14	25	36
45	40	14	43	22	18
30	19	42	39	8	45
20	17	5	13	43	4
16	17	41	31	19	3
26	20	22	18	11	10
36	49	48	22	14	1
22	10	15	11	47	9
38	3	37	7	48	6
8	13	16	11	31	40
37	43	45	29	48	5
33	38	32	17	1	9
9	45	36	42	1	16
20	34	25	32	37	6
12	47	23	37	24	29
43	13	35	46	22	24
24	14	9	26	45	17
31	44	46	23	37	7
18	48	10	47	19	31
10	14	48	37	47	23
23	46	4	49	48	37
44	6	9	1	40	24
6	44	24	47	38	33
21	36	27	29	43	45
26	9	37	20	10	4
24	23	16	33	36	14
23	25	45	31	36	37
24	46	49	28	47	42
16	44	28	30	12	27
19	27	25	5	47	37
37	41	1	36	14	24
19	41	17	29	36	21
17	29	20	36	14	3
36	5	23	49	28	20
40	35	26	46	44	24
42	1	12	7	44	19
